City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
82,Chuy,-33.7,-53.46,72.48,70,0,7.63,UY,clear sky
83,Yei,4.09,30.68,66.88,96,91,3.42,SS,overcast clouds
84,Mahebourg,-20.41,57.7,73.4,78,40,11.41,MU,scattered clouds
85,Tasiilaq,65.61,-37.64,33.8,80,58,10.29,GL,broken clouds
86,Sosnogorsk,63.6,53.88,30.74,97,100,6.69,RU,overcast clouds
87,Kutum,14.2,24.67,77.58,18,0,8.37,SD,clear sky
88,Husavik,66.04,-17.34,41.0,80,90,17.22,IS,overcast clouds
89,Maldonado,-34.67,-54.92,82.4,58,40,9.17,UY,scattered clouds
90,Longyearbyen,78.22,15.64,26.6,73,20,8.05,SJ,few clouds
91,Arvika,59.66,12.59,35.6,64,0,3.36,SE,clear sky
92,Kavaratti,10.57,72.64,80.71,81,36,11.74,IN,scattered clouds
93,Kargasok,59.06,80.86,30.22,93,99,16.02,RU,overcast clouds
94,Botwood,49.15,-55.35,57.99,61,56,3.33,CA,broken clouds
95,Kruisfontein,-34.0,24.73,55.99,83,4,4.03,ZA,clear sky
96,Quatre Cocos,-20.21,57.76,73.4,78,40,11.41,MU,scattered clouds
97,Alta Floresta,-9.88,-56.09,83.17,61,90,1.34,BR,moderate rain
98,Barcelona,41.39,2.16,61.0,82,26,3.36,ES,scattered clouds
99,Henties Bay,-22.12,14.28,60.01,89,0,3.0,NA,clear sky
100,The Valley,18.22,-63.06,86.0,83,40,3.36,AI,scattered clouds
101,Piranshahr,36.7,45.14,48.61,49,0,1.86,IR,clear sky
102,Margate,51.38,1.39,51.01,82,39,5.53,GB,scattered clouds
103,San Cristobal,7.77,-72.22,93.2,34,20,14.99,VE,few clouds
104,Vila Franca Do Campo,37.72,-25.43,59.0,62,20,6.93,PT,few clouds
105,Mehamn,71.04,27.85,24.8,92,76,6.93,NO,broken clouds
106,Lapua,62.97,23.01,33.01,98,80,1.01,FI,broken clouds
107,Qaanaaq,77.48,-69.36,33.15,87,92,6.71,GL,overcast clouds
108,Cartagena,10.4,-75.51,89.6,75,40,11.41,CO,scattered clouds
109,Buraydah,26.33,43.98,73.4,23,0,4.7,SA,clear sky
110,Buchanan,5.88,-10.05,78.8,88,75,7.29,LR,broken clouds
111,Svetlyy,54.67,20.13,48.99,80,20,8.95,RU,few clouds
112,Clyde River,70.47,-68.59,30.2,92,90,6.93,CA,overcast clouds
113,Lebu,-37.62,-73.65,55.0,64,0,5.86,CL,clear sky
